teks_bersih,sentimen
update terus monyet,Netral
tambahin dong isi paket vocer tv kavision,Netral
plis lah gimana update dana ngak transfer uang mau transfer uang eror mulu cek sinyal sama ganti provider aja sama gagal transfer mulu ngak jelas emang,Negatif
dana emang bagus dana bantu kalau punya duit gampang aja cara transaksi nya poko nya dana emang bagus lah,Positif
buruk kok dana sekarang suka rusak pas mau pakek qris aneh banget dah dong developer benerin sistem qris nya,Netral
aplikasi sering eror tidak di buka tidak kaya aplikasi jenis nya lain,Netral
kenapa ganggu trus tidak liat transaksi tidak isi pulsa,Netral
sengaja kasih bintang knpa kalau mau buka kandang kluar sendiri baik,Netral
bagus,Positif
bagus,Positif
sangat kecewa skali pusat bantu jawab otomat tanya jwb kembali dri akun lama saat belum sda minggu batal transfer tidak jls,Netral
sekarang susah banget buka dana,Negatif
bagus,Positif
fitur dana cicil kaga muncul padahal premium sering transaksi update baru aja kaga muncul tolong baik,Netral
bagus,Positif
opsi dana buat bayar buat transfer buat tarik tunai tidak tera sedang tidak sedia sistem sibuk padahal uang dana hari lebih bom buat transaksi jadi pas mau transaksi dana trus opsi bayar pakai dana tuh ada tulis tidak sedia,Netral
bayar qris eror tidak dipake,Netral
mangkin tidak jelas aplikasi sering eror,Netral
aplikasi praktis lebih mudah kirim uang sukaa,Positif
alhamdulillah lumayan puas tapi besok bonus kasih lebih banyak,Positif
sangat baik,Netral
dana instan tidak punya,Netral
anehh banget dahh ni satu aplikasi klw kaga pake wifi kaga mau buka padahal jaring normal pakai buat lain normal tiap buka malah reng koneksi tetputus bukan mudah malah bikin ribet yaa kali harus bawa modem somplak,Positif
tidak qris kenapa dana,Netral
saat pakai qris tidak,Netral
bagus,Positif
sudah lama transaksi pakai dana tapi tidak pernah fitur dana cicil nya padahal kalau isi uang dana kan pihak apikasi dana potong otomatis,Negatif
bagus,Positif
sangat suka baik,Positif
bagus bagus aja,Positif
manatap,Netral
tidak upgrade premium aplikasi dana,Netral
dikit kode otp alay lu dongo,Netral
aplikasi buruk gajelas suka nge lag juga tuh fitur dana cicil dana cicil udh lunas malah gabisa pakee,Netral
apa eror tidak kjelas,Netral
mudah praktis terimakasih,Positif
aplikasi nya sangat rusak skrng sering kluar sendiri kena phising tiba bnyak lgi masalah aplikasi dana sekarang,Negatif
suka keluar sendiri mau transfer aja nunggu jam,Positif
bagus,Positif
bagus,Positif
hapus ni app scam,Netral
sekarang qr nya sering rusak,Negatif
mantul,Netral
sangat muas,Netral
bagus,Positif
baik aplikasi dana masa masuk keluar terus,Netral
hapus ktp dana premium,Netral
mantul,Netral
bagus dana,Positif
bagus,Positif
tambah buruk tidak buka loding terus,Negatif
isi ulang via shopeepay pending jam jangan banyak masalah nya bisa tinggal guna,Netral
dana emang bagus,Positif
susah buka,Negatif
cepat banget,Netral
mqntap,Netral
ko haris d veripikasi trus ni aplukasi nya,Netral
sangat batu dan bisa krm uang mana aj,Netral
kalau limit tambahin min,Netral
bapuk padahal limit dana cicil namum tidak pakai,Netral
tahun akun dana masih belum buka kartu hilang mohon bantu tugas kasih bintang dulu kalau memang bisa guna saya kasih bintang,Negatif
sangat bantu bayar,Positif
sangat baik,Netral
gmna si rusak mulu qris nya nih emng aplikasi gajelas masa segitu aja lu kewalahan cuma qris ulang ulang kali doang ampe eror gajelas nyalahin sinyal nya padahal mh sinyal bagus aja download kenceng lah apa lawak,Netral
bagus banget,Positif
scen cacat,Netral
bagus,Positif
sangat puas,Positif
puas,Positif
bagus,Positif
bagus,Positif
lancar,Positif
aplikasi ras padahal sama guna dana tapi dana cicil nya beda bedain antar akun,Netral
bos aplikasi nya vagus,Netral
hallo min hanya tanya belum sedia investasi perak nya padahal sudah tunggu hehe,Netral
dana sekarang susah bangt buat masuk masuk ny lama seklinya masuk langsung kluar sendiri bikin emosi,Negatif
pesan nya lama banget,Netral
bagus,Positif
sangat bagus,Positif
sangat baik,Netral
ini woe dana kok tidak di transfer,Positif
bagus,Positif
bagus,Positif
mantappp,Positif
oke,Positif
baik,Netral
sangat batu aplikasi,Netral
best ewallet in the indonesia,Netral
uang di potong tidak tau jangan isi uang dana banyak anda nyesel,Netral
sangat aman,Positif
bagus kli,Positif
bagus banget,Positif
mantapp,Positif
bagusss,Positif
bagus,Positif
dana tidak masuk padahal akun premium mintak otp kalau kartu tidak aktif tidak masuk lgi akun sudah premium,Netral
bagus,Positif
mantab,Netral
aplikasi dana saat mau masuk keluar turus dong baik,Netral
oke,Positif
well poko dana th,Positif
mantaf,Netral
hp oppo tidak masuk,Netral
bagus,Positif
bagus,Positif
dana bagus,Positif
suka lambat pas masuk main nya install ulang terus,Netral
emang aplikasih tidak,Netral
senang semenjak aplikasi uang dana jadi mudah bayar apa,Positif
sangat puas proses cepat,Positif
terimakasih sangat puas,Positif
mudah,Positif
cepat kilat bagus banget,Positif
sangat muas,Netral
sukses slaluu jaya teruss pokonyah mantapp,Positif
mudah praktis fitur lengkap suka dulu kalau masalah sesuatu lain akan komplain media sedia aplikasi jika tidak tanggap akan komplain sini terimakasih,Positif
oke pokok,Positif
makin ngus,Netral
bagus,Positif
kirim uang jadi lebih mudah,Positif
bagus,Positif
okey,Positif
bagus,Positif
guna sekali,Positif
jos,Netral
dana bagus,Positif
aplikasi nya bagus cepat kalau jangan ber bayar kalau transfer,Positif
cukup puas,Positif
saat alih dompet digital lain makin lama malah tambah makin rusak tiap x mau masuk instal ulang terus kalau tidak tidak masuk,Negatif
aman tingkat please uang tiba tiba hilang tengah lihat list transaksi tidak notif bayar apa apa,Netral
sangat mudah guna,Positif
bagus,Positif
bagus,Positif
bagus banget transaksi cepat,Positif
semua transaksi jadi mudah dana,Positif
sangat puas,Positif
ko saya gda fitur dana cicil,Netral
bagus,Positif
bagus,Positif
dana is the best,Netral
tidak asa sudah kurang lebih tahun guna dana moga terus beri manfaat dampak positif terus kembang jadi lebih baik,Netral
oke,Positif
mantaaap,Netral
tidak ganti nomor baru,Netral
bagus,Positif
bagus,Positif
tidak ribet,Netral
mohon maaf pt exspay debit indonesi koe aflikasi sangat bantu itu di usaha baik cepat sering tidak loging masuk masuk mau transaksi ee malah logout keluar,Positif
cara kirim dana premium gimana uang endap tidakbisa apa kan,Netral
dana cicil tidak laku,Netral
hp hilang sama kartu nya mau masuk tidak suruh masukin kode otp gimana mau dapet otp hp hilang sama kartu tidak tidak masuk jadi tidak hubung ana,Negatif
oke,Positif
baik mudah,Positif
bagus,Positif
bagus,Positif
sangat muas dg cek in hari ngehasilin uang,Netral
pas,Netral
bagus banget,Positif
bagus,Positif
sangat bantu,Positif
ewalet baik,Positif
tambah di atur bisa hapus transaksi atau riwayat transaksi atau nomer tuju transaksi sudah ganti terima kasih,Netral
fitur dana cicil tidak lagi,Netral
bagus,Positif
bagus,Positif
akun tidak di buka scen wajah kata sandi sms atou wa nomber hilang gimana balas se cepat nya dong,Netral
mantep,Netral
sangat bantu,Positif
sangat puas,Positif
mantab,Netral
baik,Netral
bagus,Positif
buruk,Negatif
bagus,Positif
buka aplikasi selalu kres tutup makin buruk aplikasi dana sekarang,Negatif
manatapp,Netral
sangat bantu,Positif
kasih bintang klau dana cicil muncul akun sya baru kaish bintang lima dah aju bulan penguna dana thn payah dana dah aju capek,Netral
sangat bantu sekali transaksi saja gratis tugas,Positif
sangan bagus,Positif
dana cicil sayah mohon acc,Netral
suka dana,Positif
sangat bantu,Positif
sangat membatuh teriamah kasih,Netral
bagus,Positif
bagus,Positif
sangat bantu,Positif
dana bisnis sekarang susah sekali tarik biasa nya batas tari jam sore tpi sekarang jam malam baru di tarik sekarang tidak nyaman pakai dana,Positif
aplikasi nya rusak ngirim uang nunggu waktu jamm entah aplikasi apa susah buat kerja sama buat usaha pokok nya kurang dengan aplikasi butuh cepat hancur kepeecayaan buat nya terkadang kita butuh uang cepat tapi buat nunggu hari,Netral
sangat bagus,Positif
baik,Netral
fitur dana cicil tapi tidak pakai makin lama aplikasi makin tak jelas mau hapus pakai lama tidak hapus bikin semak hp,Netral
sangat bantu,Positif
aplikasi sekarang keluar masuk tugas baik maaf kasih bintang,Netral
dana cicil tidak,Netral
bagus,Positif
aplikasi ribet pake aplikasi jgan hp kamu hilang uang kalian d beku ganti nomor sia sia ibu alas pihak dana beku uang uang rb lenyap mesti uda kasi bukti yang real,Negatif
punya tidak keluar dana cicil nya,Netral
apa aplikasi kemaren bolak balik download dana sudah berapa data habis buka dana mental terus layar tidak jelas sekian kali nya download aplikasi,Netral
semua nya jadi lebih mudah,Positif
baik,Netral
sgt suka amplikasi mudah erti banget,Positif
sangat cocok aman,Positif
dong dana baik masa kali unstal ulang aja eror terus,Netral
trimakasih dana buat kerja sama nya bagus,Positif
aplikasi dana makin kacau kalau mau masuk susah minta ampun di install ulang baru bukak,Negatif
susah masuk selalu keluar masuk,Negatif
bagus,Positif
bgus,Netral
bintang tapi ku bukan,Netral
bagus,Positif
sedang pakai aplikasi,Netral
seringkalii dana tidak buka mentok di logo utama dana doang tidak masyk sering mental sblm masuk di update malah ampasss,Positif
bagus,Positif
aplikasi paling mudah transfer uang,Positif
jossss,Netral
akun dana tidak masuk hari,Netral
aplikasi lumayan bantu buat simpan uang transfer rekening,Positif
mnatap,Netral
aplikasi memang bagus tapi akhir kali hilang dana sedikit ribu,Netral
kok hp tidak buka dana yh udh kali kali pencet keluar melulu hapus,Positif
baik,Netral
dana tida bogus tida bantu,Positif
kadang tidak bisaa bukak jkadi hrs hps dsn donload kacau banget,Netral
aplikasi binatang nge rusak tidak jelas tidak di buka aplikasi uang gua sana,Negatif
dana cicil g d pakai sedang bayar jatuh tempo,Netral
bagus,Positif
bagus,Positif
lumayan bantu,Positif
ksi bintang moga bagus lah aplikasi kadang elor gimana tuh baik bos ku,Positif
akun tidak di buka,Netral
layan baik,Positif
baik,Netral
bagus,Positif
sangat praktis,Positif
sangat bantu,Positif
sangat mudah biaya adm sedikit,Positif
dana sekarang eror bangt kalau tidak buka hari aja tidak buka di uninstal terus kalau mau buka,Netral
puas,Positif
aplikasi kaya ee susah buka lambat,Negatif
oke,Positif
lemotttt ciok,Netral
buka aplikasi dana kluar sndiri padahal blum masuk,Netral
sangat bagus,Positif
guna aplikasi dana lama semua transaksi bagus cepat mudah fitur dana instan dana cicil nya bisa bantu transaksi segala butuh praktis nyaman aman,Positif
bagus,Positif
sangat puas,Positif
the best,Netral
sekarang susah masuk aplikasi,Negatif
buat dana terimakasih semua,Netral
iya nggk bonus nya tapi,Netral
sangat bantu,Positif
sangat bantu,Positif
jos,Netral
bagus,Positif
aplikasi bagus,Positif
cepat ribet,Positif
tidak muncul aplikasi nya,Netral
aplikasi asyu buat transfer g harus premium an dulu tidak yang dulu,Netral
bagus,Positif
sangat bantu mudah trima kasih dana mohon dana cicil aktif karena sudah lunas smua tagih terima kasih,Positif
sering keluar tidak jlas,Netral
kadang ngelag,Netral
sangat episien sistem dana,Netral
aplikasi banyak korupsi nya isi uang pertama rb potong sudah maklumin besok nya isi rb di potong kan tidak masuk akal tambah hari gua isi uang rb potong ribu mau apas ni aplikasi korupsi,Positif
buruk fitur dana cicil hilang tidak lagi aju banding sama tetap tak tanggap tahun,Negatif
bagus,Positif
gajelas tiba gua bayar buat bagus up padahal gua gada bagus up sama sekali tapi dm nya masuk sumpah gua gada duit malah bayar buat bagus up game,Positif
bagus tapi mangkin lambat ajh nh tidak buru buka aplikasi nya,Netral
bagus,Positif
bagus sih cuma kalau hp nya ram lambat buka,Netral
oke aplikasi dana bagus,Positif
bgus,Netral
aplikasi tidak ribet tapi sangat bantu sangat suka,Positif
bagus sangat bantu terimakasih dana,Positif
bagus,Positif
bagus,Positif
lama pakai bagus,Positif
bagus,Positif
mohon maaf atas pihak dana hormat mungkin cuma lalai laku transaksi ilegal jadi kait,Netral
sangat bantu,Positif
kurng puas,Positif
moga tidak masalah,Negatif
sangat muas,Netral
bintang biar baca dana makin tidak jelas akun tiba keluar mau masuk harus verfikasi otp nomor sudah tidak aktif mau ganti nomor salah verifikasi kyc email udh tidak berapa kali jawab tidak jelas bantu chat ana sama aja tidak solusi,Netral
suka aplikasi dana mudah transfer tarik tunai tambah bonus transfer x gratis tiap bulan bang dan gratis sama dana trmksh,Positif
bagus,Positif
tidak daftar dana cicil,Netral
bagus,Positif
overcllosh mulu,Netral
update lah kendala cek in dana deal sekarang malah keluar sendiri aplikasi,Negatif
bagus,Positif
sekarang hasil games tidak pernah masuk,Netral
baik,Positif
makasih,Netral
bagus,Positif
lumayan bagus,Positif
tidak dana cicil,Netral
sangat guna,Positif
bagus dapat serap,Positif
bagus kirim uang tidak banyak beri keluarga jauh mudah kirim,Positif
transaksi jadi mudah,Positif
barokallah,Positif
tak di buka,Netral
ya skrg dana g buka d unintal dulu trs download lg baru buka,Netral
dana cicil g,Netral
sangat baik,Netral
sangat muas,Netral
baggusss,Netral
bagusss guna,Positif
sengaja ngasih bintang full biar notice sama pihak dana akun belum jelas sekarang masuk masa kerja hari belum bisa teransfer gimana dong pihak dana masa aplikasi besar mau makanin duit nasabah nya hadeh dana rampok,Positif
gabisa menginstal,Netral
sangat muas,Netral
tari di akun qris sering masalah sudah kali kali ikan informasi tapi tidak direspon,Negatif
bagus skl,Positif
buruk aplikasi dana makin ngaco suka keluar sendiri,Netral
hari sabtu beli paket internet indosat selalu gagal apa dengan dana,Negatif
sangat mudah transaksi,Positif
bagus,Positif
kali saldo hilangg kapok tidak bakal pake nih aplikasi,Netral
susah masuk,Negatif
sangat bantu transaksi,Positif
bagus,Positif
aplikasi sering rusak kadang mentok logo kalau tidak aolikasinya sering keluar sendiri sangat ganggu sangat kecewa,Netral
baik,Netral
bagus,Positif
buka lambat ssusah banget buka aplikasi nya mau transfer jadi tidak lambat,Negatif
mudah cepat,Positif
aplikasi sulit dana sya,Netral
aga lambat,Negatif
sangat bagus bantu usaha,Positif
mantab,Netral
dana paling baik,Positif
bagus,Positif
mantapppp,Positif
aplikasi sangat baik,Netral
tidak jelas pakek ad tagih segala tidak ad nambah tagih tiba muncul sendiri tidak jelaaas aplikasi sedot uang mah ganti yang aja,Netral
sangat kecewa habis banyak uang buat nlp layan dana proses selesai masalah sangat lambat tele tele,Negatif
buka aplikasi dana selalu mental tidak masuk dana nya rusak nya fix jadi nya saya tidak buka dana karna mental,Negatif
bantu bangettt aplikasi,Positif
kapan guna dana instan,Netral
bagus banget mudah tugas tidak mahal,Positif
bagus bagus,Positif
pertama kali punya e wallet tidak kecewa apa aja jadi mudah,Positif
kesel x isi pulsa kok masuk rb dana gx jelas,Positif
tidak jadi,Netral
b aja,Netral
layan nya bagus,Positif
oke,Positif
bagus,Positif
puas sekali cepat,Positif
layan jual reksadana sangat sangat lambat,Negatif
aktipkan dana cicil,Netral
dana mudah sekali kehilagan uang tampa trangsaksi,Positif
bagus simple pada bank,Positif
sekarang lambat buruk,Negatif
sangat bantu,Positif
bagus,Positif
mntap baik,Positif
bagus,Positif
baik,Netral
bagus,Positif
bagus,Positif
bagus meski terkadang suka lambat kalau mau buka aplikasi,Positif
bagus,Positif
dana rusak tidak ke beranda nya baik aplikasi dana nya,Negatif
baik,Netral
pertama kali daftar bisnis langgan mulai banyak pakai qris mau cetak qris aja susah banget balik terus info aplikasi jelas aplikasi update,Negatif
sayang dana sering susah buka,Negatif
tidak aju dana cicil,Netral
dana ku hilang kembali,Negatif
lama lama aplikasi isi sangat wagu mau bayar pulsa kuota listrik tapi fiturnya tidak buka coba uninstal terus download malah tambah buruk,Negatif
oke,Positif
kayak mana nya aplikasi kau kirim uang tidak ngefreze for close sendiri bagus up begitu mau kirim uang tidak kalau mau bangkrut tutup bos tidak usah paksa kasihan konsumen buruk semua aplikasi pling lambat dunia,Negatif
dev buka aplikasi dana sekarang selalu ngebleng terus balik ke menu tidak buka aplikasi dana terimakasih,Netral
oke,Positif
goood,Netral
baik,Netral
kok aplikasi dana sekarang tidak tarik tunai yah harus lumpuh fitur tarik tunai nya seperti tinggal hitung hari pihak aplikasi dana bakal jadi maling uang guna,Netral
cara tarik uang salah transfer soal no salah kirim uang tidak mau kembali uang tsb,Netral
bagus,Positif
bagus baget,Positif
dana bagus layan nya tapi pernah sedot uang tanpa tahu di baru aman nya moga lebih baik bagus,Positif
oke banget,Positif
bagus,Positif
kasih tau knnpah stiaapp masuk kluuarr trus,Netral
aplikasi dana moga cepat baik nyaman guna soal dana sering sibuk ganggu,Positif
bagus,Positif
saat bagus apl nya,Positif
bagus banget,Positif
oke cepat tidak ribett,Positif
bagus,Positif
sangat bagus,Positif
baik,Positif
aplikasi sangat bantu proses tari transfer simpan,Positif
dana cicil tidak guna gimana orang mau bayar beli makin buruk dana buruk sama dana,Negatif
tidak masuk,Netral
dana tidak sesuai harap lebih baik uninstall bagus up besar tidak sekaligus x x ada potong transaksi dasar alam lama pakai dana,Positif
sering jadi beli bagus game item tidak terima tanggap aplikasi sangat lama,Positif
yes bagus,Positif
sangat indah bersih,Netral
sangat bagus mudah percaya,Positif
bagus,Positif
baguss lancar,Positif
bagus,Positif
aplikas suka kluar sendiri,Positif
sudah sangat buruk skrang uang sampai skrang belum kembali sangat buruk,Negatif
bagus,Positif
bagus bangett,Positif
dana cicil tidak guna padahal saya lunas belum ikan solusi,Netral
bagus mantab,Positif
sistem tidak aman banyak celah akun gampang retas,Positif
sekal kirimin uang sama pihak dana,Netral
bagus,Positif
halo kak sya barusan transfer tpi mau cek bukti transfer loading trus yaa mohon bantu kak,Netral
tidak muncul dana cicil kocak,Netral
bagus cepat,Positif
alhamdulillah,Netral
saya tidak daptar dana yah bos di bantu,Netral
bagus,Positif
sangat dukung,Netral
baik,Netral
bagus,Positif
bagus,Positif
saya tidak isi ulang selalu keluar notif rusak gonta ganti akun playstore tapi tetap rusak,Netral
mantapzzz,Positif
bagus,Positif
proses cepat,Positif
bagus,Positif
oke,Positif
mohon maaf update dana bisnis buat transaksi bayar dagang pakai qris proses nya hari lama sekarang sudah dpt qris mw cetak prin malah tidak unduh di ulang kali kali tidak juga baik mkcih,Netral
mas mbak gimana cara aplikasi normal mula,Netral
dana bagus tarik uang ambil uang,Positif
bayar mudah cepat bagus aplikasi tolong biaya transfer nyanjuga murah,Positif
sangat bagus,Positif
mau narik uang dana transfer konter lewat qr trus transaksi hasil tapi aplikasi konter nya gagal trus uang tidak dana kurang org konter tidak mau bayar karna aplikasi gagal jdi kek mana mohon di bantu dulu saya sudah laporin aplikasi dana malah jawab trus bolak balik tidak akhir,Negatif
tidak masuk,Netral
sangat bantu mudah guna,Positif
bagus bagus,Positif
mudah banget nyata,Positif
sangat cepat buat transfer,Positif
bagus,Positif
bagus,Positif
tangan sangat cepat terimakasih tahan,Positif
memang prakti,Netral
sangat baik,Netral
moga aplikasi drama tidak aplikasi drama lain bohong,Netral
keluar sendiri terus,Netral
aplikasi sering keluar sendiri,Netral
uang hilang mulu dana dana makin lama makin nyebelin mau ngambil uang eh uang nya hilang dana kesel banget mending hapus nih aplikasi dana tidak juga bikin duit hilang mending hapus aplikasi dana ganti ewalet lain nya bintang,Negatif
sangat muas,Netral
dulu tau ku ganti nomor ribet skrg susah bgtt udh suruh pindah akun oke lakuin eh ujung nya sama nihil alas aman lah skrg sistem sibuk nanya ana cuma robot oke kalau kurang jelas foto masuk di ulng tpi tidak jujur kecewa saat lgi butuh dana penting ada isi nya dana kuu,Positif
fitur dana cicil knpa tidak sedang sudah premium trus rutin transaksi,Netral
sangat muas,Netral
aplikasi depo slot judi nomer satu indo,Netral
dana sangat bantu sekali,Positif
bagusss,Positif
baik,Netral
sangat bantu,Positif
jir lah makin kesini makin ngeleg nih apl mau transaksi ngeleg padahal bagus jaring nya dah dah d utak atik tetep tidak ngarih nyesel si leg mlu smoga lebih bagus,Positif
sering banget sedot pakai dana ni,Netral
sangat puas,Positif
ada aplikasi dana sangat bantu sekali,Positif
aman sekali,Positif
bagus smua jadi mudah,Positif
bagus banget buat transaksi,Positif
sayah sangat bantu banet,Netral
bagus,Positif
bagus sekali sangat manfaat saya,Positif
bagus,Positif
sangat puas,Positif
aplikasi dana wajib kalian instal sangat mudah mudah erti,Positif
kirim baik,Netral
aplikasi mulai tidak bagus salah transfer misal kan tidak balik beda ama aplikasi ke gopay,Positif
baik,Netral
sangat baguss,Positif
aplikasi nya udh bagus tapi buat masuk dalam nya gila lama banget coba benahin dah udh hampir minggu nih mau masuk aplikasi nya selalu keluar terus,Positif
fitur dana instan dana cicil tidak padahal udh lama pake dana selalu transaksi lewat dana,Netral
sangat bantu cepat terpecaya,Positif
bagus tidak ribet,Positif
sekarang kalau mau buka dana nggebel aja tiap hari donlod dulu,Netral
oke,Positif
tidak masuk akun dana saya ya,Netral
sngt muadh dlm segala transaksi ny,Netral
bagus banget,Positif
kerenn aplikasi nya,Positif
baik,Netral
sangat bagus,Positif
sukses terus buat team,Netral
bagus,Positif
bgus,Netral
bagus,Positif
tidak tawar dana cicil jadi males transaksi pake dana,Netral
bagus,Positif
dana cicil lunas tidak di pakai apa telat aja kagak nya bisa di pakai gila lah gimana bisa maka nya payah,Netral
gimana sih kata suruh dm ig e mail dana tapi tidak balas nomor dana cantum tidak las pusat batu juara tidak di aplikasi nya cuma ana tidak jelas nih ig sya dm rk saya daftar dana lebih hari kemungkinanan sudah mau bulan tapi status sedang proses tidak notifikasi gagal mohon bantu cek cepat verifikasi,Netral
buka dong dana intantnya,Netral
baik,Netral
sangat puas aplikasj,Positif
hati hati dana sekarang uang hilang tampa tidak tahu korban uang hilang semua ludas pihak dana tidak mau ber tanggung jawab sangat buruk sekali atas kasus dana,Negatif
sangat profesional,Netral
baik,Netral
cepat,Positif
bagus tingkatka lg layan,Positif
baik,Netral
kadang lambat aplikasi pdhl jaring bagus aj moga lebih perhati mksih,Netral
aplikasi sampah banyak buq,Negatif
lama pake dana tapi tidak fitur dana cicil,Netral
dana cicil,Netral
mantaap,Netral
bagus,Positif
oke lah,Positif
praktis banget,Positif
ko kalau masuk ter pental mulu tidak di buka,Netral
puas banget,Positif
bagus,Positif
aman enggak gantung kalian maka jadi jangan salah aplikasi tapi bajar biar tidak bodohh kena scam,Positif
sesal mendownload dana,Netral
bagus,Positif
manatappo,Netral
sangat bgus,Netral
bantu,Positif
amazing aplikasi,Netral
sangat bagus,Positif
akun dana perangkat masuk ganti pin ini sangat bahaya uang ambil lalu transaksi qris smua tidak berita informasi kait transaksi yang curiga retas aman ambil uang bisa ganti pin transaksi arti proteksi dana tidak apa nya banding retas dan lapor pun hanya di layan chat bot jadi tidak ada solusi atas masalah saya ini,Netral
bagus,Positif
bagus job,Positif
senang,Netral
puas,Positif
dana dana skrng kecewa cuma transfer rb aja bank butuh waktu jam hadeh sedang proses lucu bangt,Netral
bagus,Positif
nyaman banget,Positif
susah mau upgrade dana premium kalau langsung bintang,Negatif
lumayan lah okey,Positif
bagus,Positif
baik masa iya eror terus,Netral
sangat kcwa masa buat lihat histiry transaksi aja lama bnget buka ny,Netral
mending pindah aja soal tiap chat asisten ana mau hapus akun premium tidak bisa heran,Netral
sangat baik,Netral
bagus,Positif
hati hati pinjam dana cicil soal pernah pinjam hari kemudian lunas lapor lunas tapi jadi bulan isi dana kurang otomatis bayar dana cicil asli curi pihak dana ini sangat resah lapor layan jawab ngawur,Netral
bagus aplikasi,Positif
layan bantu sangat buruk,Negatif
bantu,Positif
sangatttttttt bagussssssssss,Positif
luarbiasa,Netral
tagih dana cicil bayar minggu lebih tapi tetap tidak guna desk call dana bilang chat ana tp tidak jawab bingung saya karna bot jawab ai banget dulu aplikasi dana paling bagus tapi kalau sekarang paling aneh tidak jelas paling buruk kalau sekarang,Netral
bagus,Positif
kngpa tidak transfer,Netral
sungguh buruk transfer bank uda kena biaya dana duit potong lg gawat x dana sekarang,Negatif
dapat isi ulang luar negri sanya kirim hari belum masuk uang,Positif
gimna aplikasi dana mau bayar dana cicil ko aplikasi nya malah mantul trus kluar susah masuk nya baik ka lgi ganggu apa gmna ka d baik gilir telat bayar kya gin d salah aplikasi nya yang susah d buka susah jga mau bayar mental trus terus,Negatif
sangat bagus,Positif
sangat bagus tapi sayang dana cicil tidak di pakai laku bayar verivikasi wajah tapi langsung gagal ke beranda awal,Netral
lop yuuu dana,Netral
bagus,Positif
sangat bantu,Positif
bagus,Positif
bagus bngttt aplikasi nyaaa,Positif
nyaman,Positif
dana mental mlu benerin lah,Netral
simpel easy,Netral
sagat bantu,Positif
baik,Netral
sangat mudah kan,Positif
uang ku hilang ambil tuju ku dana ku uninstall,Negatif
sangat puas krn mudah dlm transaksi,Positif
aplikasi bagus,Positif
mntp sangat baik,Netral
bagus,Positif
bagus sekali lebih cepat bayar,Positif
lah pihak dana ubah kalau mau masuk tidak usah kode kalau kartu nomer hilang jadi tidak masuk bikin ribet di tiada nya masukin kode jadi tidak masuk akun dana sendiri karna kartu nomer hilang bikin ribetttt aplikasi gajelas bosokkk bikin frustasi,Netral
tidak pake aplikasi dana cicil nya tidak di pakai,Netral
pantastik simpel,Netral
sangat puas,Positif
maaf aplikasi dana ku kok eror terus sih apa masalah,Netral
aplikasi sering masalah sering ganggu jugak tiba tidak transfer kurang muas aplikasi,Negatif
moga bnyak menfaatnya,Netral
bagus,Positif
di buka kok selalu bolak balik,Positif
terimakasih merefund uang rena tidak sengaja langgan aplikasi otomatis makasih proses refund nya cepat dalam kurang hari,Positif
kok susah x buka apl dana dihp,Netral
akun dana alami tangguh permanen mohon bantu buka akun dana sebut dong,Netral
harga guna mulai hari saya pindah aplikasi lebih aman uang hilang tiba tiba tidak tanggap bagus,Positif
oke,Positif
bagus,Positif
buruk kirim uang gopay dana gopay dana hasil tpi gopay g masuk uangny,Negatif
jangan lah potong uang,Netral
bagus,Positif
bagus,Positif
app dana lama lama tidak buka pas di buka keluar hadehhhh gimana sii dong inih atasin gimana cara tidak keluar keluar,Netral
kembali uang ku bujang,Netral
bagus bantu,Positif
knapa dana sekarng susah skali buka uang hilang dana karna tidak di buka aplikasi,Negatif
mntap bos,Netral
bagus sekali,Positif
apa aplikasi sering tidak balik sendirikadang men baik udh kasihbintang limapadahal baik,Netral
puas ribet layan nya,Positif
bagus,Positif
wahh bagus,Positif
bagus,Positif
bagus sekali,Positif
sangat guna,Positif
bagus,Positif
sanjay bagus status persen,Positif
bagus,Positif
dana cicil limit tapi tidak dipake padahal tidak tagih nyesel pake dana,Netral
bagus kerja lancar hebat,Positif
bagus kali aplikasi nya murah buat bagus up game,Positif
selalu siap,Netral
bagus,Positif
muncul fitur dana instan dana min,Netral
bagus,Positif
sangat bantu swkali,Positif
mudah praktis,Positif
mudah transaksi,Positif
baik,Positif
aplikasi lengkap bagus sekali,Positif
buruk harus dana kalau isi pulsa nomor tidak aktif tuh harus gagal bukan malah hasil,Negatif
full kasi bintang,Netral
sangat amannn,Positif
bantu sekali sangat baik,Positif
bagus cuma susah buka,Netral
aplikasi dana telah update jadi tidak di buka ya di baik,Netral
obaik,Netral
lebih mudah aman,Positif
sangat puas,Positif
akun proteksi chat layan sulit,Netral
bagus mudah transaksi apa trima kasih bantu,Positif
tahan bagus bagus,Positif
bagus sekali,Positif
bagus,Positif
buruk fitur dana cicil muncul tp tidak diaktivasi gagal terus,Negatif
pingin aju dana cicil,Netral
bgus sekali,Netral
oke,Positif
baguss sekali,Positif
mantaaap semua masalah mudah pake dana,Netral
sekarang biaya adminnya yah kalau transfer mandiri kemarin ngak adaa,Netral
bagus sekali,Positif
bagus,Positif
aplikasi mudah banyak promo,Positif
kok mental terus dana buka,Positif
pokok bagus banget tidak ribet bebas tugas x tiap bulan bank mana tugas juga murah,Positif
bagus,Positif
bagus,Positif
fitur dana paylater,Netral
bagus,Positif
dana paling bagus,Positif
mantappppppp,Positif
aplikasi nya membntu tapi tidak pitur dana cicil atu dana darurat,Netral
